"DateTime","Players","Average Players"
"2024-12-20 01:00:00",359251,294925
"2024-12-20 02:00:00",378451,294616
"2024-12-20 03:00:00",378972,294474
"2024-12-20 04:00:00",368699,294804
"2024-12-20 05:00:00",343051,295538
"2024-12-20 06:00:00",297683,296808
"2024-12-20 07:00:00",250927,298435
"2024-12-20 08:00:00",220015,300196
"2024-12-20 09:00:00",186801,301518
"2024-12-20 10:00:00",173540,302711
"2024-12-20 11:00:00",188799,303568
"2024-12-20 12:00:00",214345,304119
"2024-12-20 13:00:00",248778,304694
"2024-12-20 14:00:00",275028,305310
"2024-12-20 15:00:00",283732,306041
"2024-12-20 16:00:00",288723,306944
"2024-12-20 17:00:00",296923,307903
"2024-12-20 18:00:00",307015,308813
"2024-12-20 19:00:00",324828,309758
"2024-12-20 20:00:00",345428,310730
"2024-12-20 21:00:00",356891,311606
"2024-12-20 22:00:00",357932,312515
"2024-12-20 23:00:00",362344,313576
"2024-12-21 00:00:00",357432,313561
"2024-12-21 01:00:00",357214,312836
"2024-12-21 02:00:00",382005,312405
"2024-12-21 03:00:00",397239,312030
"2024-12-21 04:00:00",397148,311837
"2024-12-21 05:00:00",388121,311935
"2024-12-21 06:00:00",354940,312382
"2024-12-21 07:00:00",310419,313091
"2024-12-21 08:00:00",266329,313746
"2024-12-21 09:00:00",225382,314383
"2024-12-21 10:00:00",200719,314882
"2024-12-21 11:00:00",206024,315223
"2024-12-21 12:00:00",231288,315608
"2024-12-21 13:00:00",262824,315965
"2024-12-21 14:00:00",289310,316266
"2024-12-21 15:00:00",304399,316435
"2024-12-21 16:00:00",313996,316424
"2024-12-21 17:00:00",322211,316408
"2024-12-21 18:00:00",334390,316622
"2024-12-21 19:00:00",350785,317012
"2024-12-21 20:00:00",368180,317554
"2024-12-21 21:00:00",378652,318164
"2024-12-21 22:00:00",375668,318665
"2024-12-21 23:00:00",349123,318688
"2024-12-22 00:00:00",332680,318599
"2024-12-22 01:00:00",340257,318695
"2024-12-22 02:00:00",358807,318896
"2024-12-22 03:00:00",374922,318989
"2024-12-22 04:00:00",376134,318705
"2024-12-22 05:00:00",373074,318338
"2024-12-22 06:00:00",348170,317539
"2024-12-22 07:00:00",308917,316339
"2024-12-22 08:00:00",268437,315001
"2024-12-22 09:00:00",228781,313759
"2024-12-22 10:00:00",203828,312705
"2024-12-22 11:00:00",210930,311918
"2024-12-22 12:00:00",236749,311261
"2024-12-22 13:00:00",266015,310565
"2024-12-22 14:00:00",283485,309723
"2024-12-22 15:00:00",288807,308744
"2024-12-22 16:00:00",297979,307738
"2024-12-22 17:00:00",313655,306821
"2024-12-22 18:00:00",333353,305976
"2024-12-22 19:00:00",357539,305163
"2024-12-22 20:00:00",378119,304260
"2024-12-22 21:00:00",386782,303228
"2024-12-22 22:00:00",384593,302184
"2024-12-22 23:00:00",361034,301243
"2024-12-23 00:00:00",347030,300813
"2024-12-23 01:00:00",362903,300778
"2024-12-23 02:00:00",376854,300702
"2024-12-23 03:00:00",377355,300564
"2024-12-23 04:00:00",371513,300480
"2024-12-23 05:00:00",345919,300119
"2024-12-23 06:00:00",301473,299626
"2024-12-23 07:00:00",254165,299046
"2024-12-23 08:00:00",216374,298497
"2024-12-23 09:00:00",184230,297881
"2024-12-23 10:00:00",168560,297308
"2024-12-23 11:00:00",180339,296739
"2024-12-23 12:00:00",205937,296055
"2024-12-23 13:00:00",235359,295329
"2024-12-23 14:00:00",253856,294588
"2024-12-23 15:00:00",258349,293827
"2024-12-23 16:00:00",265853,293029
"2024-12-23 17:00:00",279121,292157
"2024-12-23 18:00:00",294461,291131
"2024-12-23 19:00:00",312487,289912
"2024-12-23 20:00:00",328838,288485
"2024-12-23 21:00:00",336159,286764
"2024-12-23 22:00:00",335804,284892
"2024-12-23 23:00:00",331319,283295
"2024-12-24 00:00:00",327434,281666
"2024-12-24 01:00:00",344798,279714
"2024-12-24 02:00:00",367514,277305
"2024-12-24 03:00:00",375405,274827
"2024-12-24 04:00:00",374730,272688
"2024-12-24 05:00:00",358377,270908
"2024-12-24 06:00:00",316654,269514
"2024-12-24 07:00:00",268885,268721
"2024-12-24 08:00:00",222901,268259
"2024-12-24 09:00:00",185746,268152
"2024-12-24 10:00:00",166754,268132
"2024-12-24 11:00:00",174013,268012
"2024-12-24 12:00:00",197800,267775
"2024-12-24 13:00:00",225838,267425
"2024-12-24 14:00:00",244293,266983
"2024-12-24 15:00:00",248591,266482
"2024-12-24 16:00:00",254903,265986
"2024-12-24 17:00:00",265145,265489
"2024-12-24 18:00:00",277204,265045
"2024-12-24 19:00:00",289750,264547
"2024-12-24 20:00:00",294519,263905
"2024-12-24 21:00:00",293857,263265
"2024-12-24 22:00:00",289871,262664
"2024-12-24 23:00:00",275576,261932
"2024-12-25 00:00:00",256083,261078
"2024-12-25 01:00:00",245718,259961
"2024-12-25 02:00:00",258785,259159
"2024-12-25 03:00:00",276757,258632
"2024-12-25 04:00:00",283668,257981
"2024-12-25 05:00:00",281662,257438
"2024-12-25 06:00:00",266644,257180
"2024-12-25 07:00:00",240396,256967
"2024-12-25 08:00:00",214515,256854
"2024-12-25 09:00:00",184100,256628
"2024-12-25 10:00:00",164559,256384
"2024-12-25 11:00:00",168190,256138
"2024-12-25 12:00:00",188082,255867
"2024-12-25 13:00:00",211955,255536
