user,content,helpful_count,timestamp,recommendation
76561199698112957,Extremely fun to play. nice people (most of the time) and really cheap market place items. you can find hats and guns for like 10 cents. would recommend,0,2024-12-20 21:30:02,True
76561199229900606,"this game is pretty fun, and shout out to that one engineer that placed that dispenser",0,2024-12-20 20:42:29,True
76561199586081385,dont even waste your time,0,2024-12-20 17:35:11,False
76561198824571498,m,0,2024-12-20 16:37:38,True
76561199502137613,yes,0,2024-12-20 15:50:24,True
76561198835979232,sigma,0,2024-12-20 15:23:16,True
76561198271652431,👍,0,2024-12-20 14:49:03,True
76561199584307780,great for money,0,2024-12-20 06:13:13,True
76561199468773848,"Awesome game. Nine classes to play as, several different gamemodes and many more maps, so many cosmetics and weapons to achieve. I log on to Steam to play this game everyday!",0,2024-12-20 05:51:18,True
76561198099651920,"I run into other people with moth or bug characters and it's almost a universal response for them to send a friend request to other players with bug characters. I think it's hardwired into our brains..

I also run into this scary guy named sparky the 1j, you gotta be careful when you see that guy.",0,2024-12-20 05:31:29,True
76561199784870279,the best game ever I really surprised people are still playing it.,0,2024-12-20 03:54:04,True
76561199808130698,"Great Game, 10/10. Would Recommend  :]",0,2024-12-20 03:46:15,True
76561198106930203,Great game. Still active after like two decades.,0,2024-12-20 03:43:41,True
76561199700157286,KILL,0,2024-12-20 00:40:32,True
76561199229796774,scout tf2,0,2024-12-20 00:32:18,True
76561199211726411,"very good game
",0,2024-12-19 22:13:02,True
76561199217964682,good game,0,2024-12-19 20:22:01,True
76561198031324292,Melons are good this game is good this game is a melon.,0,2024-12-19 12:44:51,True
76561198144166395,It's alright I guess.,0,2024-12-19 11:22:31,True
76561199587959807,fun,0,2024-12-19 01:06:29,True
76561199177438342,"Team Fortress 2 is one of the most interesting games i've ever played, because the class and gameplay is somehow fun. Cheaters in game are so low, im glad i didn't play this game when it was full of bots but now its so calm and full of action. I wonder how much did they think for achivements. If you are a beginner, play as scout first and then try other classes. Have fun.",0,2024-12-18 17:30:33,True
76561199524193227,sandvich,0,2024-12-18 11:06:04,True
76561199191235251,Im literally the full metal daemon muramasa when i use half zatoichi demo knight,0,2024-12-18 10:51:02,True
76561199591314212,good game can not go bad,0,2024-12-18 09:27:20,True
